host_id,hostname,dist_pc,st_teff_k,st_rad_rsun,st_mass_msun,st_lum_log,st_logg,st_met_dex,st_spectype,spectral_class,hr_region,n_stars,n_planets
3588,NGC 2682 YBP 1514,914.221,5725.0,0.89,0.96,-0.01797,4.57,0.03,G5 V,G,Main_Sequence_Cool,1,1
3589,NGC 2682 YBP 401,830.822,6165.0,1.215821,1.14,0.28942,4.3,-0.046,F9 V,F,Main_Sequence_Hot,1,1
3590,NGTS-1,218.121,3916.0,0.573,0.617,-1.15326,4.71,0.0,M0.5,M,Main_Sequence_Cool,1,1
3591,NGTS-10,324.69865036,4600.0,0.697,0.696,-0.75673,4.595,-0.02,K5 V,K,Main_Sequence_Cool,1,1
3592,NGTS-11,190.422,5050.0,0.832,0.862,-0.39518,4.5,0.22,K,K,Main_Sequence_Cool,1,1
3593,NGTS-12,446.442,5690.0,1.589,1.021,0.33843,4.045,-0.03,G,G,Main_Sequence_Cool,1,1
3594,NGTS-13,647.595,5819.0,1.788,1.3,0.5172,4.04,0.25,Unknown,Unknown,Main_Sequence_Cool,1,1
3595,NGTS-14 A,322.148,5187.0,0.842,0.898,-0.31088,4.2,0.1,K1 V,K,Main_Sequence_Cool,2,1
3596,NGTS-15,786.485,5600.0,0.954,0.995,-0.08571,4.4,0.15,G6 V,G,Main_Sequence_Cool,1,1
3597,NGTS-16,898.168,5550.0,1.213,1.002,0.11732,4.35,0.35,G7 V,G,Main_Sequence_Cool,1,1
3598,NGTS-17,1040.28,5650.0,1.337,1.025,0.2412,4.0,0.15,G4 V,G,Subgiant,1,1
3599,NGTS-18,1096.19,5610.0,1.392,1.003,0.2703,4.16,0.15,G5 V,G,Main_Sequence_Cool,1,1
3600,NGTS-2,356.391,6478.0,1.702,1.64,0.63077,4.197,-0.06,F5 V,F,Main_Sequence_Hot,1,1
3601,NGTS-20,382.898,5980.0,1.78,1.47,0.64503,3.8,0.15,G1 IV,G,Subgiant,1,1
3602,NGTS-21,592.891,4660.0,0.86,0.72,-0.53854,4.63,-0.26,K3 V,K,Main_Sequence_Cool,1,1
3603,NGTS-23,1074.95,6057.0,1.24,1.01,0.2833,4.04,-0.26,F9 V,F,Main_Sequence_Hot,1,1
3604,NGTS-24,683.062,5820.0,1.64,1.26,0.44592,4.09,0.27,G2 IV,G,Main_Sequence_Cool,1,1
3605,NGTS-25,521.233,5321.0,0.86,0.91,-0.29158,4.48,0.12,K0 V,K,Main_Sequence_Cool,1,1
3606,NGTS-26,1093.69,5550.0,1.16,0.96,0.10106,4.1,0.2,Unknown,Unknown,Main_Sequence_Cool,1,1
3607,NGTS-27,942.122,5700.0,1.77,1.07,0.51375,4.05,0.0,Unknown,Unknown,Main_Sequence_Cool,1,1
3608,NGTS-3 A,743.972,5600.0,0.93,1.017,-0.144,4.44807,0.12,G6 V,G,Main_Sequence_Cool,2,1
3609,NGTS-30,238.377,5455.0,0.913,0.94,-0.18738,4.3,-0.03,Unknown,Unknown,Main_Sequence_Cool,1,1
3610,NGTS-31,497.376,5710.0,1.7,0.96,0.443,4.43,0.0,Unknown,Unknown,Main_Sequence_Cool,1,1
3611,NGTS-32,837.457,5680.0,1.85,1.07,0.47092,4.09,-0.03,Unknown,Unknown,Main_Sequence_Cool,1,1
3612,NGTS-33,437.855,7437.0,1.47,1.6,0.77159,4.26,-0.11,Unknown,Unknown,Main_Sequence_Hot,1,1
3613,NGTS-34,120.475,6134.0,1.367,1.266,0.37658,4.22,0.228,F8 V,F,Main_Sequence_Hot,1,1
3614,NGTS-35,183.078,4717.0,0.753,0.789,-0.59688,4.57,0.085,K3.5 V,K,Main_Sequence_Cool,1,1
3615,NGTS-4,280.555,5143.0,0.84,0.75,-0.3533,4.5,-0.28,Unknown,Unknown,Main_Sequence_Cool,1,1
3616,NGTS-5,306.779,4987.0,0.739,0.661,-0.51087,4.52,0.12,K2 V,K,Main_Sequence_Cool,1,1
3617,NGTS-6,308.262,4730.0,0.754,0.767,-0.59176,4.7,0.11,Unknown,Unknown,Main_Sequence_Cool,1,1
3618,NGTS-8,428.976,5241.0,0.98,0.89,-0.20993,4.41,0.24,K0 V,K,Main_Sequence_Cool,1,1
3619,NGTS-9,609.128,6330.0,1.38,1.34,0.38944,4.37,0.31,F8 V,F,Main_Sequence_Hot,1,1
3620,NSVS 14256825,820.877,40000.0,0.188,0.419,1.97364,5.49946,,Unknown,Unknown,Main_Sequence_Hot,2,1
3621,NY Vir,544.024,32780.0,0.151,0.459,1.37508,5.74193,,Unknown,Unknown,Main_Sequence_Hot,2,2
3622,OGLE-2003-BLG-235L,5800.0,5502.5,1.42487,0.63,0.31745,,,K V,K,Unknown,1,1
3623,OGLE-2005-BLG-071L,3200.0,5502.5,1.42487,0.46,0.31745,,,Unknown,Unknown,Unknown,1,1
3624,OGLE-2005-BLG-169L,4100.0,5502.5,1.42487,0.69,0.31745,,,K5,K,Unknown,1,1
3625,OGLE-2005-BLG-390L,6600.0,5502.5,1.42487,0.22,0.31745,,,Unknown,Unknown,Unknown,1,1
3626,OGLE-2006-BLG-109L,1510.0,5502.5,1.42487,0.51,0.31745,,,Unknown,Unknown,Unknown,1,2
3627,OGLE-2006-BLG-284L A,4000.0,5502.5,1.42487,0.35,0.31745,,,Unknown,Unknown,Unknown,2,1
3628,OGLE-2007-BLG-349L A,2760.0,5502.5,1.42487,0.41,0.31745,,,M,M,Unknown,2,1
3629,OGLE-2007-BLG-368L,5900.0,5502.5,1.42487,0.64,0.31745,,,Unknown,Unknown,Unknown,1,1
3630,OGLE-2008-BLG-092L,8100.0,5502.5,1.42487,0.71,0.31745,,,Unknown,Unknown,Unknown,2,1
3631,OGLE-2008-BLG-355L,6800.0,5502.5,1.42487,0.37,0.31745,,,Unknown,Unknown,Unknown,1,1
3632,OGLE-2011-BLG-0173L,6100.0,5502.5,1.42487,0.41,0.31745,,,Unknown,Unknown,Unknown,1,1
3633,OGLE-2011-BLG-0251L,2570.0,5502.5,1.42487,0.26,0.31745,,,M,M,Unknown,1,1
3634,OGLE-2011-BLG-0265L,4380.0,5502.5,1.42487,0.211,0.31745,,,Unknown,Unknown,Unknown,1,1
3635,OGLE-2012-BLG-0026L,4019.0,5502.5,1.42487,1.06,0.31745,,,G5 V,G,Unknown,1,2
3636,OGLE-2012-BLG-0406L,4970.0,5502.5,1.42487,0.44,0.31745,,,Unknown,Unknown,Unknown,1,1
3637,OGLE-2012-BLG-0563L,1300.0,5502.5,1.42487,0.34,0.31745,,,Unknown,Unknown,Unknown,1,1
3638,OGLE-2012-BLG-0724L,6700.0,5502.5,1.42487,0.29,0.31745,,,M V,M,Unknown,1,1
